STATUS,Condition,Respondent,Form Timer ⏱️,Warmup Task Time,Task Time,Tasks Completed,Time Per Task,Quiz Score,Worker ID,How many years of coding experience do you have? ,How many years of python experience do you have? ,How frequently have you written Python code in the last year?,How would you describe your expertise with asynchronous functions in Python?,Have you used the Python Asyncio library before? ,Have you used the Python Trio library before? ,"How much experience do you have using AI coding assistants (such as GitHub Copilot, Claude, ChatGPT, Cursor or similar tools that can generate or suggest code)?",PQ1: What is the primary benefit of using asynchronous programming in Python?,PQ2: What happens when the await keyword is used in an async function?,PQ3: Why is error handling important in asynchronous code?,PQ4: What is a coroutine in Python?,PQ5: What is a Semaphore?,Pre Quiz Async,PQ6: Which of the following correctly downloads and saves a text file from a URL using the requests library? ,PQ7: Consider the following function that attempts to retrieve data by ID. Which of the following code snippets correctly handles exceptions to store results in a dictionary?,Pre Quiz Coding,Timestamp,Do you want a copy of your quiz results to understand how well you've learned the Python Trio library? ,I pledge to NOT use AI for the questions in this quiz,P1: What happens when the await keyword is used in an async function?,Q1,P2: What happens to a parent task when a child task raises an unhandled exception in Trio?,Q2,"P3: Consider this function, how can you spawn this function using nursery.start_soon() and store the results? 

Briefly describe how you would call nursery.start_soon() within a trio.nursery and any modifications to example(), if applicable. ",Q3,"P4: Carefully examine this code snippet, what is the output of this code? ",Q4,P5: Read the following code and identify when each task starts and completes:  [Task 1 - Start],P5: Read the following code and identify when each task starts and completes:  [Task 1 - End],P5: Read the following code and identify when each task starts and completes:  [Task 2 - Start],P5: Read the following code and identify when each task starts and completes:  [Task 2 - End],Q5,P6: Think about which of the tasks will complete. What will you see printed? Select all that apply. ,Q6,"P7: Please select answer ""(A) 0.1s"" ",P8: Review the following asynchronous / concurrent execution code snippet and identify the bug. What will happen instead? ,Q8,"P9: Examine this code snippet, what will this program print? Briefly explain why? ",Q9,P10: The following piece of code attempts to fetch user ids. What is wrong with this code?  ,Q10,P11: Review the following code snippet and identify the bug: ,Q11,P12: This is a simple implementation of a trio parallel task processing. Identify the bug that will raise an error in this code. ,Q12,P13: Your teammate implemented Task 2 differently (see code below). They claim it handles errors because it has a try/except block and stores 'error' in the results. Will their code produce the same results dictionary as your implementation? Why or why not? ,Q13,"P14: When happens in a nursery when you call ""nursery.start_soon()""? What does the ""nursery.start_soon()"" function return? ",Q14,"P15: Briefly explain the role of the ""await"" keyword when coding with Trio: 
What does it do? 
When did you use it in this coding task? 
When should you avoid using it? ",Q15,"How did you use AI tools for the coding task?
Select the option that best describes your experience:",How useful did you find the AI tool (if you used it),What did you use AI Assistance for in this task? ,"When you TYPICALLY code (outside of this task), what percentage of time do ask AI to explain something vs ask AI to generate code? 

(1) 100% explanation - 0% code generation
(2) 80% explanation - 20% code generation
(3) 60% explanation - 40% code generation
(4) 40% explanation - 60% code generation
(5) 20 % explanation - 80% code generation
(6) 0 % explanation - 100% code generation",How much do you feel like you learned from this task? ,How much did you enjoy this learning task? ,How much effort did you use to complete each of the tasks in this study? [Warmup Task],How much effort did you use to complete each of the tasks in this study? [Trio Task ],How much effort did you use to complete each of the tasks in this study? [Post Task Quiz],Did you use AI Assistance for this quiz? ,How long did it take you to complete the quiz? ,What is your current age?,What is the highest level of education that you have completed? ,Are you currently a student? ,In what context do you do most of your programming?,I would prefer complex to simple problems,I like to have the responsibility of handling a situation that requires a lot of thinking,"Select the number ""4""",Thinking is not my idea of fun.,I would rather do something that requires little thought than something that is sure to challenge my thinking abilities. ,Do you have any comments or feedback about this learning task? ,Column 1,Fingerprint - DO NOT EDIT,Have you seen or used Trio before this task? ,I acknowledge that there are 4 sections to the quiz and will try to plan my time accordingly. ,Fingerprint - DO NOT EDIT,Fingerprint - DO NOT EDIT
COMPLETED,AI,W3YYYQ44ZEYJ,In time (29m 14s),7,21,2,10.5,7.50,W3YYYQ44ZEYJ,4-6 years,1-3 years,6 - Daily (as part of my regular work/activities),3 - I can read code using asynchronous functions and understand what is happening,No,No,6 - I'm proficient with multiple AI coding assistants and use advanced prompting techniques,(B) It allows for concurrent execution of I/O-bound tasks without blocking,(B) The function pauses execution and allows other tasks to run until the awaited operation completes,(C) Because errors in one async task should not crash the entire application,"(C) A function that can be paused and resumed, allowing other code to run during pauses",(N) I don't know,4,(A),(C),2,7/31/2025 3:24:56,No,Yes,(B) The function pauses execution and allows other tasks to run until the awaited operation completes,1,(N) I don't know,0,"I would use async with trio.open_nursery() as nursey, followed by nursery.start_soon(example). I think I'd say, results = nursery.start_soon(example).",0,Apple (newline) Lemon (newline) Orange,2,0s,1.0s,1.5s,2.5s,1,"""Task 1 ending"", ""Task 3 ending"", ""Value Error: Task 2 fails"", ""Main complete""",0.5,(A) 0.1s,I don't know.,0,I don't know.,0,I don't know.,0,I don't know.,0,"You need to initiate your nursery as, ""with trio.open_nursery() as nursery:"", not ""nursery = trio.open_nursery()"".",2,I don't know.,0,nursery.start_soon() starts a new asynchronous task. nursery.start_soon() returns what the task returns. ,1,"The ""await' keyword is used to make the task pause for the time specified before continuing on. We used it when we wanted to wait a second to make the output come out a second later than the last output. You should not use it when you want things to happen immediately.",0,7,7,"Generating code, Explaining concepts, Give usage examples",5,2,4,Moderate effort,Very little effort,High effort,No,29 minutes,31-35,Bachelor's degree,No,"Personal projects and hobbies, Freelance/contract work",3,4,4,2,2,,,wnAQwwRC,No,Yes,,
COMPLETED,AI,MJZ23C364NJY,Late (+ 1m 3s),12,28,2,14,8.00,MJZ23C364NJY,1-3 years,1-3 years,4 - Regularly (once or twice a week),4 - I have run code using asynchronous functions but haven't written any myself,No,No,4 - I regularly use AI coding assistants but primarily for code snippets or debugging help,(B) It allows for concurrent execution of I/O-bound tasks without blocking,(N) I don't know,(N) I don't know,(A) A thread-based function that automatically runs in parallel with other functions,(N) I don't know,1,(C),(C),1,7/31/2025 8:59:54,No,Yes,(C) The function creates a new thread to handle the awaited operation,0,"(C) The exception propagates to the parent task, typically causing it to fail",1,"Call example using nursery.start_soon() with ""example"" as the parameter.",0,Apple Lemon Orange,2,0s,1.0s,0.5s,1.5s,2,"""Task 1 ending"", ""Value Error: Task 2 fails"", ""Main complete""",1,(A) 0.1s,The with keyword doesn't properly open a new nursery. It will raise a syntax error,0,"It will print ""*yawn* Going to sleep"" and will then print ""Woke up after 6 seconds"" because trio.sleep will wait 6 seconds since the function is called with a parameter of 3.",0,I don't know,0,I don't know. It looks okay to me.,0,"The nursery isn't opened correctly. It should use the ""with"" keyword to properly open a new nursery.",2,"No it won't. The try portion of the try except block goes through a loop of each user id using start soon within the new nursery and will crash with an error before finishing the iteration. It also prints ""ValueError"" instead of just ""error"" for errors logged.",0,A function to run concurrently with the other functions in the nursery.,0,The await keyword signals that the function being called is asynchronous. It's used when calling concurrent functions to run asynchronously.,0,4,6,"Debugging errors, Explaining concepts",3,5,5,High effort,High effort,High effort,No,Approximately 25 minutes,31-35,Some college (no degree),Yes - Other,"Personal projects and hobbies, Freelance/contract work",3,4,4,1,2,It was fun and challenging. The warm up was confusing because it seemed the task had some issues but overall the entire thing was a fun learning experience.,,6jpQpVC2,No,Yes,,
COMPLETED,AI,9H9XDXACFNJ7,In time (26m 54s),4,20,2,10,13.00,9H9XDXACFNJ7,4-6 years,1-3 years,5 - Frequently (several times a week),4 - I have run code using asynchronous functions but haven't written any myself,No,No,5 - I frequently integrate AI coding assistants into my coding workflow for various tasks,(B) It allows for concurrent execution of I/O-bound tasks without blocking,(B) The function pauses execution and allows other tasks to run until the awaited operation completes,(C) Because errors in one async task should not crash the entire application,(N) I don't know,"(B) A synchronization primitive that maintains a set of permits, limiting the number of concurrent accesses to a shared resource",4,(N) I don't know,(C),1,7/31/2025 17:06:32,Yes,Yes,(C) The function creates a new thread to handle the awaited operation,0,"(C) The exception propagates to the parent task, typically causing it to fail",1,"To have the result be usable outside the function scop, the example function would need to change the value of a dictionary rather than trying to return a value. This is because a start_soon() function doesn't return a value. This means working code would look like: the following: 
result = {}
async with trio.nursery as nursery:
    nursery.start_soon(example)

async def example():
    await trio.sleep(1)
    result[example] = ""Hello World""",2,Apple Lemon Orange,2,0s,1.0s,0.5s,1.5s,2,I don't know,0,(A) 0.1s,The items will be processed but the values in the results array won't be changed in process_data (i.e. they won't be doubled).,0,"It will print the ""going to sleep"" and ""woke up after 6 seconds"" strings (assuming that the perf_counter simplifies time).  This is because the function will sleep for 6 seconds after printing the initial statement.",0,The process_one_user function attempts to fetch the data without using any awaits and will not run concurrently. I'm not sure if the function will actually be able to use the data returned by the function.,2,I don't know,0,"The code doesn't use the ""with"" format that is required by trio nurseries. Additionally, this causes the result_dict to only be changed  after two second which is after the one second of waiting to print the results.",2,I don't know ,0,"The function will start to run the asynchronous function given to it and it will no wait for the async function to stop executing. The function does not return a value so it can't be used to assign values, an external data storage method is required. ",2,The await keyword signifies that the function can be run concurrently. It is used when defining or using functions that will not halt the execution of a program until it finishes executing. It should not be used with code that can cause a race condition condition to occur.,0,3,6,"Debugging errors, Explaining concepts, Give usage examples",2,3,6,Little effort,Moderate effort,High effort,No,25 minutes,22-25,Bachelor's degree,No,"Personal projects and hobbies, Freelance/contract work",4,4,4,1,2,,,b8VzoNJj,No,Yes,,
COMPLETED,AI,RV2EJYM34TEF,Late (+ 2m 1s),5,31,2,15.5,3.50,rv2ejym34te,7+ years,7+ years,5 - Frequently (several times a week),5 - I have written basic code using asynchronous functions,Yes,No,5 - I frequently integrate AI coding assistants into my coding workflow for various tasks,(B) It allows for concurrent execution of I/O-bound tasks without blocking,(B) The function pauses execution and allows other tasks to run until the awaited operation completes,(C) Because errors in one async task should not crash the entire application,(A) A thread-based function that automatically runs in parallel with other functions,(N) I don't know,3,(A),(A),1,8/1/2025 21:24:35,No,Yes,(B) The function pauses execution and allows other tasks to run until the awaited operation completes,1,(A) The parent task continues execution normally,0,"First, import trio. Then create a nursery instance using open_nursery() as nursery. Then call nursery with start_soon(example) and store the results to a variable. ",1,LemonApple,0,0s,1.0s,1.5s,2.5s,1,"""Task 1 ending"", ""Task 3 ending"", ""Value Error: Task 2 fails"", ""Main complete""",0.5,(A) 0.1s,I'm not sure but there's nothing being done with 'nursery'. ,0,I don't know (I'd need to remember what perf_counter() does)),0,I think the for loop shouldn't be there. ,0,I don't know,0,await trio.sleep(1) isn't waiting long enough for process_task() to complete. ,0,I don't know,0,I don't know,0,I don't know,0,7,7,"Generating code, Explaining concepts, Rewriting / Improving Code",4,5,6,Very high effort,Very high effort,Very high effort,No,30 minutes,45+,"Professional degree (JD, MD, etc.)",No,Freelance/contract work,5,5,4,1,1,I wish I'd taken the time to understand the explanations from Cosmo a bit more!,,XIFuUYvk,No,Yes,,
COMPLETED,AI,VCTJ6DJG3GYV,Late (+ 11m 31s),7,35,2,17.5,6.50,VCTJ6DJG3GYV,7+ years,4-6 years,4 - Regularly (once or twice a week),6 - I have significant experience writing and debugging asynchronous functions,Yes,No,6 - I'm proficient with multiple AI coding assistants and use advanced prompting techniques,(B) It allows for concurrent execution of I/O-bound tasks without blocking,(D) The function blocks all other operations until the awaited operation completes,(C) Because errors in one async task should not crash the entire application,"(C) A function that can be paused and resumed, allowing other code to run during pauses",(N) I don't know,3,(C),(C),1,8/4/2025 1:13:27,Yes,Yes,(D) The function blocks all other operations until the awaited operation completes,0,(B) The parent task is notified but continues to run,0,not sure,0,Apple Lemon Orange,2,0s,1.0s,0.5s,1.5s,2,"""Task 1 ending"", ""Task 3 ending"", ""Value Error: Task 2 fails"", ""Main complete""",0.5,(A) 0.1s,"I think the results return prematurely, because the return needs to be indented once. The async with doesn't halt execution within the method scope... I think.",0,Woke up after 6 seconds! ,0,We're not fetching all users at once,0,"I don't know, my guess is Task complete prints first, because foo isn't started right away. Actually it depends. Yeah I don't know. Speculating on how start_soon queues the task in the event loop. Is it just right away here, or is it for the start of the next event loop. Or am I just misunderstanding entirely.",0,I don't know,0,"no, because the exception prior was non-blocking on the queue, but now it is, because we're catching outside",0,"I don't know. My guess is the async task is queued to run, but exactly when I'm not sure, and not sure what it returns. Possibly the awaited results.",1,I just ran out of time. Can be used within an async context to halt and wait for a task to complete that is outside the runtime context. There's a term for this.,1,3,4,"Generating code, Explaining concepts",4,2,3,Moderate effort,Moderate effort,Moderate effort,No,Just over the 30 min limit.,26-30,Associate's degree,No,"At work as a professional developer, Freelance/contract work",5,5,4,1,1,"I'm slow. I think the time limit made me act in a way that wasn't representative to my normal workflow, particularly in the proportion of time spent building mental models vs. obtaining code progressions. I had the desire to understand trio a lot more than I allowed myself in the moment, because I knew I wouldn't have the time. I also think my attention was scattered as I tried to operate in a rush. Trio seems to work pretty similarly to other libraries I am realizing I'm not as familiar with as I thought. My sense after this is that there maybe be differences in the execution model, but I didn't really get to dig deep enough to understand them. I'm surprised that something as simple as understanding the `start_soon` method... like I picked up nothing about that in terms of deeper understanding. Thanks for letting me participate!",,AhVTmoPe,No,Yes,,
COMPLETED,AI,J7RGZXPDT7W2,Late (+ 1m 26s),7,18,2,9,10.50,J7RGZXPDT7W2,7+ years,1-3 years,5 - Frequently (several times a week),5 - I have written basic code using asynchronous functions,No,No,4 - I regularly use AI coding assistants but primarily for code snippets or debugging help,(B) It allows for concurrent execution of I/O-bound tasks without blocking,(B) The function pauses execution and allows other tasks to run until the awaited operation completes,(C) Because errors in one async task should not crash the entire application,(N) I don't know,(N) I don't know,3,(A),(C),2,8/4/2025 7:51:12,Yes,Yes,(C) The function creates a new thread to handle the awaited operation,0,(A) The parent task continues execution normally,0,"I would create a string variable outside of the example scope to hold the result and then call example inside a trio.nursery like:

```
result=""""
async with trio.nursery as nursery:
     nursery.start_soon(example)
```

I would also remove the redundant return from the example method",1,Apple Lemon Orange,2,0s,1.0s,0.5s,1.5s,2,"""Task 1 ending"", ""Task 3 ending"", ""Value Error: Task 2 fails"", ""Main complete""",0.5,(A) 0.1s,"The nursery is not used, instead the code runs in sync and therefore each iteration of the loop waits for the result to be returned instead of the processing running in parallel",2,"The code will print ""*yawn* going to sleep"" followed by ""Woke up after 6 seconds!"" because the value 3 was passed into broken double sleep and the thread is slept for twice that length of time.",0,The process_one_user function does not await for the result from the async function fetch_data and therefore will not be saving a result to the all_data dictionary (possibly will be saving the promise of running fetch_data),0,"The ""with trio.open_nursery() as nursery"" line is not marked as async, causing the code not to await for all child tasks to complete before continuing with the parent code. This would result in ""Task complete"" being outputted before ""End"" is outputted.",0,"The function `process_task` saves the results to `results_dict` but this is not defined in the greater scope and therefore the variable `results` is never assigned to and remains empty, resulting the output being ""Results: {}""",0,It will still return the same results as the code still assigns the correct value to the dictionary (although it is now passed in instead of globally accessible) the raising of exceptions and handling of exception in the parent function are surplus as exceptions do not get passed to the parent function.,0,The nursery start the function call in a new thread and continue execution immediatly. The start_soon function doesn't return anything,2,The await keyword causes the main execution to wait for the execution of the line of code to complete before continuing. ,1,7,6,Generating code,4,4,6,High effort,High effort,Very high effort,No,29 minutes,35-45,Bachelor's degree,No,"Personal projects and hobbies, Freelance/contract work",3,4,4,2,2,,,ZZxgtyjT,No,Yes,,
COMPLETED,AI,GNQE7XWYTEQZ,In time (28m 9s),7,21,2,10.5,21.00,gnqe7xwyteqz,7+ years,7+ years,5 - Frequently (several times a week),5 - I have written basic code using asynchronous functions,Yes,No,4 - I regularly use AI coding assistants but primarily for code snippets or debugging help,(B) It allows for concurrent execution of I/O-bound tasks without blocking,(D) The function blocks all other operations until the awaited operation completes,(A) Because async functions cannot use traditional try/except blocks,(N) I don't know,"(B) A synchronization primitive that maintains a set of permits, limiting the number of concurrent accesses to a shared resource",2,(A),(C),2,8/4/2025 11:43:39,Yes,Yes,(D) The function blocks all other operations until the awaited operation completes,0,"(C) The exception propagates to the parent task, typically causing it to fail",1,An additional data structure outside the nursery should be used to store the results. Call `nursery.start_soon(example())` within an `async with trio.nursery` block. Define the data structure like a dict or list before entering the async block.,2,Apple Lemon Orange,2,0s,1.0s,0.5s,1.5s,2,"""Value Error: Task 2 fails""",2,(A) 0.1s,i don't know,0,"*yawn* Going to sleep

Missing an await keyword with trio.sleep",2,"Missing await keyword when calling fetch_data, possibly another await",2,does nursery.start_soon need an `await`?,0,this creates a nursery totally wrong. you must use `trio.open_nursery()` with `async with` ,2,"No this will not work the same. The nursery is created in the try block so ANY exception within will cause it to fail without more specific results, e.g. not a ValueError. ",2,It starts a concurrent request. It doesn't return anything. ,2,`await` tells the code to block at that point until that function completes. I used it to wait on time to pass when using a sleep function. I believe I also used it when calling another async function. Avoid using with non-async functions.,2,7,7,"Generating code, Explaining concepts",5,4,7,Little effort,Little effort,Moderate effort,No,25,31-35,Bachelor's degree,No,"Personal projects and hobbies, Freelance/contract work",4,4,4,1,1,this was fun! I wish i paid more attention to trio syntax when coding with Cosmo,,0eVja6qy,No,Yes,,
COMPLETED,No AI,3K2JKA3RN47T,In time (26m 20s),4,21,2,10.5,20.50,3K2JKA3RN47T,7+ years,4-6 years,4 - Regularly (once or twice a week),5 - I have written basic code using asynchronous functions,Yes,No,4 - I regularly use AI coding assistants but primarily for code snippets or debugging help,(B) It allows for concurrent execution of I/O-bound tasks without blocking,(C) The function creates a new thread to handle the awaited operation,(C) Because errors in one async task should not crash the entire application,(A) A thread-based function that automatically runs in parallel with other functions,"(B) A synchronization primitive that maintains a set of permits, limiting the number of concurrent accesses to a shared resource",4,(A),(C),2,7/30/2025 0:59:35,Yes,Yes,(C) The function creates a new thread to handle the awaited operation,0,"(C) The exception propagates to the parent task, typically causing it to fail",1,"You would need to modify the example function to use a shared data structure (ex. the dictionary used in the previous task 2) and modify the function to either accept it as a parameter or to return it. You then would call it like ""nursery.start_soon(example,dictionary)"" if passing it in or just ""nursery.start_soon(example)"" if the dictionary is already loaded into memory (ex. if example is a function within the parent function similar to task 2).",2,Apple Lemon Orange,2,0s,1.0s,0.5s,1.5s,2,"""Task 1 ending"", ""Value Error: Task 2 fails""",1.5,(A) 0.1s,The code snippet does not appropriately use the nursery object to call processes concurrently. This will instead cause the loop to wait until process_item completes.,2,"It will first print the ""*yawn*"" Going to sleep"" string and then will sleep for 2*x seconds (in this example x=3). It will then print ""Woke up after 6 seconds!"". It used time.perf_counter() to ensure only the elapsed time is used.",0,"It does not call fetch_data asynchronously. Otherwise, I don't know.",0,"it should use ""async with"" instead of ""with"" when initializing the nursery",2,The code does not properly ensure that it waits for the process_task function to complete so it will not return the correct value,1,It will not because the value error will cause it to leave the async with block as the try except is outside of it,2,The nursery will create a new thread to start the async function passed in so it can run concurrently with the main thread of execution. The nursery.start_soon() function itself returns null.,2,The await keyword essentially causes the current thread of execution to stop until a process completed. In this coding task it was mainly used for sleep functions to force the thread to wait for a definite amount of time (example the timer function). It should generally be avoided when it could cause race conditions between threads ex. waiting 2 seconds and then inserting into a data structure while in another thread waiting only 1 second and then attempting to access the value.,3,1,1,,2,7,7,Very little effort,Very little effort,High effort,No,22,26-30,Bachelor's degree,No,At work as a professional developer,5,5,4,2,1,This was a lot of fun but the recording aspect can be cumbersome on some systems and cause a little bit of anxiety especially when you can't go back if you messed up the recording.,,8GAb45wA,No,Yes,,
COMPLETED,No AI,QYQ7YPQ4PYQK,In time (23m 35s),3,29,2,14.5,12.00,QYQ7YPQ4PYQK,7+ years,7+ years,5 - Frequently (several times a week),5 - I have written basic code using asynchronous functions,Yes,No,5 - I frequently integrate AI coding assistants into my coding workflow for various tasks,(B) It allows for concurrent execution of I/O-bound tasks without blocking,(B) The function pauses execution and allows other tasks to run until the awaited operation completes,(C) Because errors in one async task should not crash the entire application,"(C) A function that can be paused and resumed, allowing other code to run during pauses","(B) A synchronization primitive that maintains a set of permits, limiting the number of concurrent accesses to a shared resource",5,(C),(C),1,7/30/2025 1:50:46,Yes,Yes,(C) The function creates a new thread to handle the awaited operation,0,"(C) The exception propagates to the parent task, typically causing it to fail",1,"You would first start the nursery (async with trio.open_nursery() as nursery:), then you would call nursery.start_soon(example)",0,Apple\nLemon\nOrange,2,0s,1.0s,0.5s,1.5s,2,"""Main complete""",0,(A) 0.1s,results append result immediately but result will go through and change values concurrently. This may result in an error (since result may not be declared yet).,0,"""*yawn* Going to sleep\n Woke up after 6 seconds!"" It will print this because the trio.sleep parameter is set to 2*x, and in this case x is 3, as trio.run calls broken_double_sleep with the value 3 as an argument.",0,There should be a try/except block in process_one_user and data = fetch_data(uid) should be changed to data = await fetch_data(uid),2,trio.sleep(1) should not have await in front of it.,0,"The process_task function sleeps for 2 seconds, but main tries to print the results after only 1 second.",0,"No, the nursery will just produce an error because a value error will be raised with at least one of the children.",2,It runs the function called concurrently with other functions. It cannot return anything.,2,"The ""await"" keyword is used to call async functions on separate threads.",1,1,,,3,4,6,Very little effort,Moderate effort,Moderate effort,No,~25 minutes,31-35,Bachelor's degree,No,"At work as a professional developer, Personal projects and hobbies, Freelance/contract work",3,5,4,1,1,,,Wdp8glKM,No,Yes,,
COMPLETED,No AI,V7JA9JGJDJPF,In time (29m 57s),8,30,2,15,25.00,v7ja9jgjdjp,4-6 years,4-6 years,6 - Daily (as part of my regular work/activities),5 - I have written basic code using asynchronous functions,Yes,No,6 - I'm proficient with multiple AI coding assistants and use advanced prompting techniques,(B) It allows for concurrent execution of I/O-bound tasks without blocking,(B) The function pauses execution and allows other tasks to run until the awaited operation completes,(C) Because errors in one async task should not crash the entire application,"(C) A function that can be paused and resumed, allowing other code to run during pauses","(B) A synchronization primitive that maintains a set of permits, limiting the number of concurrent accesses to a shared resource",5,(A),(C),2,7/30/2025 2:52:06,Yes,Yes,(B) The function pauses execution and allows other tasks to run until the awaited operation completes,1,"(C) The exception propagates to the parent task, typically causing it to fail",1,"You would put the result into a dictionary or list defined outside of example and perhaps passed into example, depending on the specifics of the setup. The function could be spawned with nursery.start_soon(example) and if the thing result is being put into is being passed, it would be nursery.start_soon(example, result_bucket). ",2,Apple Lemon Orange,2,0s,1.0s,0.5s,1.5s,2,"""Value Error: Task 2 fails""",2,(A) 0.1s,"I believe the nursery needs to use .start_soon to actually do asynchronous tasks.  Granted, we really only covered one use case of Trio, but all cases of the nursery had start_soon in them. Not clear what the nursery does here as it is not referenced inside. Maybe this is still async, but at the very least it is not using Trio properly. ",2,"*yawn* Going to sleep

Woke up after 6 seconds 

or 

Woke up after 0 seconds. 

A lot depends on how you define ""don't know the answer"" as I suspect that an await is needed in here on trio.sleep, but I am not sure. I don't really recall the sleep part as well. ",2,"The await is missing here for fetch_data. It requires it as it is an async function. I am also not sure whether await is required or not for trio.sleep. I think that is correct, but not entirely sure. ",2,async should be in front of with trio.open_nursery,2,"I don't know. I think the open_nursery() may need an async in front, but I did not use this pattern during the exercises. ",2,"No, as it is not catching the value error inside the process, but allowing it to escape. This would cause the entire nursery to fail if I recall correctly. The error still escaped to the nursery whereas in my implementation, the error was handled inside the async function. ",2,It starts a task in the background and I don't think it returns anything? ,2,It is meant to make the code stop executing until the function has finished. It should be avoided when you want the task to run in the background like with the nursery. await blocks. ,1,1,,,4,6,6,Little effort,Moderate effort,High effort,No,29 minutes,26-30,Bachelor's degree,No,"At work as a professional developer, Personal projects and hobbies",4,5,4,1,1,,,V94kV676,No,Yes,,
COMPLETED,No AI,MMFCXH43RGMH,In time (26m 17s),8,32,2,16,13.50,MMFCXH43RGMH,1-3 years,1-3 years,6 - Daily (as part of my regular work/activities),5 - I have written basic code using asynchronous functions,Yes,No,4 - I regularly use AI coding assistants but primarily for code snippets or debugging help,(B) It allows for concurrent execution of I/O-bound tasks without blocking,(B) The function pauses execution and allows other tasks to run until the awaited operation completes,(C) Because errors in one async task should not crash the entire application,(N) I don't know,"(B) A synchronization primitive that maintains a set of permits, limiting the number of concurrent accesses to a shared resource",4,(A),(B),1,7/30/2025 12:42:03,Yes,Yes,(C) The function creates a new thread to handle the awaited operation,0,"(C) The exception propagates to the parent task, typically causing it to fail",1,You would start a nursery using `async with trio.open_nursery() as nursery:` then spawn it using `result = nursery.start_soon(example)` with the results stored in result.,0,Apple Lemon Orange,2,0s,1.0s,0.5s,1.5s,2,"""Task 1 ending"", ""Value Error: Task 2 fails""",1.5,(A) 0.1s,"There is no concurrency occurring, it will await the results of each item one-by-one.",2,"*yawn* Going to sleep
Woke up after 6 seconds!",0,"The return value for fetch_data is a dictionary, then it is being assigned to another dictionary.",0,I don't know,0,The nursery is not properly written.,2,"No, because you are raising a Value Error and printing out 'ValueError'.",0,Nothing.,1,The 'await' keyword waits for another operation to complete before returning the results. It was used within the nursery functionality to wait for the other threads/coroutines to finish.,2,1,,,2,5,6,Little effort,High effort,Moderate effort,No,26 minutes?,31-35,Bachelor's degree,No,"Personal projects and hobbies, Academic research, Freelance/contract work",3,3,4,3,2,,,KgY_FjPu,No,Yes,,
COMPLETED,No AI,XHEGR2WVCCXJ,In time (29m 56s),7,19,2,9.5,23.00,XHEGR2WVCCXJ,4-6 years,1-3 years,5 - Frequently (several times a week),5 - I have written basic code using asynchronous functions,Yes,No,3 - I occasionally use AI coding assistants for simple coding tasks or examples,(B) It allows for concurrent execution of I/O-bound tasks without blocking,(B) The function pauses execution and allows other tasks to run until the awaited operation completes,(C) Because errors in one async task should not crash the entire application,(N) I don't know,"(B) A synchronization primitive that maintains a set of permits, limiting the number of concurrent accesses to a shared resource",4,(A),(C),2,7/30/2025 14:23:33,Yes,Yes,(B) The function pauses execution and allows other tasks to run until the awaited operation completes,1,"(C) The exception propagates to the parent task, typically causing it to fail",1,"You would call it with the statement ""nursery.start_soon(example)"". To store the result, you could create a result variable with the same name as the one in example() beforehand and so it will be stored to that in the example().",1,Apple\nLemon\nOrange,2,0s,1.0s,0.5s,1.5s,2,I don't know,0,(A) 0.1s,The process_data function will wait for each process_item() call to finish instead of doing them concurrently. This is because they are invoked with await instead of using nusery.start_soon().,2,"""Woke up after 0 seconds!"" would be printed because the ""trio.sleep(2*x)"" method is not being awaited so the next statement happens immediately.",2,The call to fetch_data(uid) in process_users() does not have an await so it would cause an error.,2,"There is no async at the start of the line ""with trio.open_nursery()..."".",2,The code uses open_nursery() without a context manager and tries to use start_soon() with it.,2,"No, because the for loop through the user ids would stop after the first error from user id 1 so not all of them would be processed.",2,Calling nursery.start_soon() will call the async function passed to it and immediately move to the next line. It does not return anything.,2,Await is used before calls to async functions to ensure they work. It is also used inside async functions to call another async function and wait for it to finish before moving on to the next line. You should avoid using it when call functions that are not asynchronous or when you call async functions with start_soon() or run() from trio.,2,1,,,3,4,4,Little effort,Moderate effort,High effort,No,30 min,22-25,Bachelor's degree,No,"Personal projects and hobbies, Freelance/contract work",4,4,4,2,2,,,cLK4qXKH,No,Yes,,
